Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
2008,Aaron Voelker,Canada,,148,24.67%,124/283,56.54%,Bronze,,,,,,,
2008,Tom Szymanski,Canada,,,,,,,,,,,,,
2007,Konstantin Lopyrev,Canada,,255,42.50%,88/285,69.47%,Bronze,,,,,,,
2007,Andy Kong,Canada,,243,40.50%,106/285,63.16%,Bronze,,,,,,,
2007,Guru Guruganesh,Canada,,,,,,,,,,,,,
2007,Ricky Ngan,Canada,,,,,,,,,,,,,
2006,Peng Shi,Canada,,350,58.33%,48/282,83.33%,Silver,,,,,,,
2006,Richard Peng,Canada,,334,55.67%,62/282,78.37%,Silver,,,,,,,
2006,Andy Kong,Canada,,328,54.67%,65/282,77.30%,Silver,,,,,,,
2006,Qiyu Zhu,Canada,,235,39.17%,130/282,54.26%,Bronze,,,,,,,
2005,Richard Peng,Canada,,523,87.17%,17/276,94.20%,Gold,,,,,,,
2005,Simon Parent,Canada,,412,68.67%,62/276,77.90%,Silver,,,,,,,
2005,Aidin Kashigar,Canada,,366,61.00%,85/276,69.57%,Bronze,,,,,,,
2005,Qiyu Zhu,Canada,,321,53.50%,109/276,60.87%,Bronze,,,,,,,
2004,Richard Peng,Canada,,420,70.00%,36/291,87.97%,Silver,,,,,,,
2004,Aidin Kashigar,Canada,,350,58.33%,82/291,72.16%,Bronze,,,,,,,
2004,Vishvajit Singh,Canada,,300,50.00%,115/291,60.82%,Bronze,,,,,,,
2004,Simon Parent,Canada,,290,48.33%,124/291,57.73%,Bronze,,,,,,,
2003,Matei Zaharia,Canada,,307.8,51.30%,42/265,84.53%,Silver,,,,,,,
2003,Simon Parent,Canada,,283.9,47.32%,53/265,80.38%,Silver,,,,,,,
2003,Sean Henderson,Canada,,,,,,,,,,,,,
2003,Geoff Lywood,Canada,,,,,,,,,,,,,
2002,David Zhang,Canada,,283,47.17%,30/276,89.49%,Silver,,,,,,,
2002,Matei Zaharia,Canada,,257,42.83%,44/276,84.42%,Silver,,,,,,,
2002,Marcin Mika,Canada,,192,32.00%,91/276,67.39%,Bronze,,,,,,,
2002,Jason Thean,Canada,,,,,,,,,,,,,
2001,David Zhang,Canada,,439,73.17%,8/272,97.43%,Gold,,,,,,,
2001,Marcin Mika,Canada,,,,,,,,,,,,,
2001,Thomas Ootjers,Canada,,,,,,,,,,,,,
2001,William Slofstra,Canada,,,,,,,,,,,,,
2000,David Arthur,Canada,,690,98.57%,2/278,99.64%,Gold,,,,,,,
2000,David Pritchard,Canada,,690,98.57%,2/278,99.64%,Gold,,,,,,,
2000,Denis Dmitriev,Canada,,417,59.57%,64/278,77.34%,Silver,,,,,,,
2000,Jonathan Gilbert,Canada,,270,38.57%,122/278,56.47%,Bronze,,,,,,,
1999,David Arthur,Canada,,360,60.00%,15/253,94.47%,Gold,,,,,,,
1999,David Pritchard,Canada,,308,51.33%,32/253,87.75%,Silver,,,,,,,
1999,Eugene Osovetsky,Canada,,194,32.33%,90/253,64.82%,Bronze,,,,,,,
1999,Bryan Chan,Canada,,,,,,,,,,,,,
1998,David Pritchard,Canada,,540,77.14%,41/241,83.40%,Silver,,,,,,,
1998,Neil Girdhar,Canada,,480,68.57%,63/241,74.27%,Bronze,,,,,,,
1998,David Arthur,Canada,,420,60.00%,85/241,65.15%,Bronze,,,,,,,
1998,Graeme David Kemkes,Canada,,250,35.71%,133/241,45.23%,,,,,,,,
1997,Peter Ruderman,Canada,,358,59.67%,26/221,88.69%,Silver,,,,,,,
1997,Graeme David Kemkes,Canada,,234,39.00%,86/221,61.54%,Bronze,,,,,,,
1997,Darryl Shpak,Canada,,229,38.17%,90/221,59.73%,Bronze,,,,,,,
1997,Neil Girdhar,Canada,,203,33.83%,112/221,49.77%,Bronze,,,,,,,
1996,Alan Martin,Canada,,167,83.50%,31/220,86.36%,Silver,,,,,,,
1996,Donny Cheung,Canada,,131,65.50%,73/220,67.27%,Bronze,,,,,,,
1996,Darryl Shpak,Canada,,109,54.50%,102/220,54.09%,Bronze,,,,,,,
1996,David Pritchard,Canada,,34,17.00%,194/220,12.27%,,,,,,,,
