Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
2009,Aibek Teshebaev,Kyrgyzstan,,,,,,,,,,,,,
2008,Astar Bekturov,Kyrgyzstan,,,,,,,,,,,,,
2008,Aziz Mirbakiev,Kyrgyzstan,,,,,,,,,,,,,
2008,Artem Bachevskii,Kyrgyzstan,,,,,,,,,,,,,
2008,Akzholbek Omorov,Kyrgyzstan,,,,,,,,,,,,,
2007,Esenbek Kydyr uulu,Kyrgyzstan,,,,,,,,,,,,,
2007,Sanzhar Mykyev,Kyrgyzstan,,,,,,,,,,,,,
2007,Dmitrii Bondarenko,Kyrgyzstan,,,,,,,,,,,,,
2007,Ruslan Garatov,Kyrgyzstan,,,,,,,,,,,,,
2006,Esenbek Kydyr uulu,Kyrgyzstan,,,,,,,,,,,,,
2006,Emilbek Joldoshov,Kyrgyzstan,,,,,,,,,,,,,
2006,Samat Murzaliev,Kyrgyzstan,,,,,,,,,,,,,
2006,Erkin Kasymov,Kyrgyzstan,,,,,,,,,,,,,
2005,Igor Goroshko,Kyrgyzstan,319,53.17%,110/276,60.51%,Bronze,,,,,,,,
2005,Roman Kim,Kyrgyzstan,,,,,,,,,,,,,
2005,Dmitrii Semenov,Kyrgyzstan,,,,,,,,,,,,,
2005,Emilbek Joldoshov,Kyrgyzstan,,,,,,,,,,,,,
2004,Aleksey Baryshnikov,Kyrgyzstan,265,44.17%,143/291,51.20%,Bronze,,,,,,,,
2004,Danil Chernyshev,Kyrgyzstan,,,,,,,,,,,,,
2004,Hamza Talipov,Kyrgyzstan,,,,,,,,,,,,,
2004,Roman Kim,Kyrgyzstan,,,,,,,,,,,,,
2003,Aleksey Baryshnikov,Kyrgyzstan,,,,,,,,,,,,,
2003,Rinat Zakirov,Kyrgyzstan,,,,,,,,,,,,,
2003,Tilek Eshenaliev,Kyrgyzstan,,,,,,,,,,,,,
2003,Alexey Vyatchanin,Kyrgyzstan,,,,,,,,,,,,,
2002,Stanislav Vashuk,Kyrgyzstan,,,,,,,,,,,,,
2002,Abdimetal Pasylov,Kyrgyzstan,,,,,,,,,,,,,
2002,Kirill Baryshnikov,Kyrgyzstan,,,,,,,,,,,,,
2001,Dmitriy Borovkov,Kyrgyzstan,,,,,,,,,,,,,
2000,Andrey Mokhov,Kyrgyzstan,,250,35.71%,129/278,53.96%,Bronze,,,,,,,
2000,Tilek Shubakov,Kyrgyzstan,,,,,,,,,,,,,
2000,Ashur Rafiev,Kyrgyzstan,,,,,,,,,,,,,
2000,Dmitriy Borovkov,Kyrgyzstan,,,,,,,,,,,,,
