Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
2007,Adam Ehlers Nyholm Thomsen,Denmark,,250,41.67%,96/285,66.67%,Bronze,,,,,,,
2007,Bjarke Andersen,Denmark,,,,,,,,,,,,,
2007,David Wind,Denmark,,,,,,,,,,,,,
2007,Søren  Dahlgaard,Denmark,,,,,,,,,,,,,
2006,Asger Cronberg Ipsen,Denmark,,340,56.67%,56/282,80.50%,Silver,,,,,,,
2006,Jorgen Fogh,Denmark,,282,47.00%,96/282,66.31%,Bronze,,,,,,,
2006,Adam Ehlers Nyholm Thomsen,Denmark,,,,,,,,,,,,,
2006,Lasse Anderesen,Denmark,,,,,,,,,,,,,
2005,Asger Cronberg Ipsen,Denmark,,359,59.83%,88/276,68.48%,Bronze,,,,,,,
2005,Rasmus Bøggild,Denmark,,,,,,,,,,,,,
2005,Jorgen Fogh,Denmark,,,,,,,,,,,,,
2005,Anders Rudebeck,Denmark,,,,,,,,,,,,,
2004,Mads Olesen,Denmark,,,,,,,,,,,,,
2004,Anders Rudebeck,Denmark,,,,,,,,,,,,,
2004,Jakob Gath,Denmark,,,,,,,,,,,,,
2004,Lu Zhang Gram,Denmark,,,,,,,,,,,,,
2003,Anders Rudebeck,Denmark,,206.9,34.48%,104/265,61.13%,Bronze,,,,,,,
2003,Troels Rønnow,Denmark,,,,,,,,,,,,,
2003,Johan Nielsen,Denmark,,,,,,,,,,,,,
2003,Poul Sander,Denmark,,,,,,,,,,,,,
2002,Bjarke Roune,Denmark,,236,39.33%,60/276,78.62%,Silver,,,,,,,
2002,Jens Boldsen,Denmark,,,,,,,,,,,,,
2002,Ulrik Buchholtz,Denmark,,,,,,,,,,,,,
2002,Michael Rasmussen,Denmark,,,,,,,,,,,,,
2001,Bjarke Roune,Denmark,,353,58.83%,34/272,87.87%,Silver,,,,,,,
2001,Michael Nissen,Denmark,,,,,,,,,,,,,
2001,Martin Thiim,Denmark,,,,,,,,,,,,,
2001,Mathias Hagensen,Denmark,,,,,,,,,,,,,
2000,Anders Schack-Nielsen,Denmark,,560,80.00%,20/278,93.17%,Gold,,,,,,,
2000,Anders Jensen,Denmark,,280,40.00%,116/278,58.63%,Bronze,,,,,,,
2000,Martin Thiim,Denmark,,,,,,,,,,,,,
2000,Bjarke Roune,Denmark,,,,,,,,,,,,,
1999,Anders Schack-Nielsen,Denmark,,170,28.33%,106/253,58.50%,Bronze,,,,,,,
1999,Thomas Kragh,Denmark,,,,,,,,,,,,,
1999,Jeppe Frisvad,Denmark,,,,,,,,,,,,,
1999,Søren Besenbacher,Denmark,,,,,,,,,,,,,
1998,Erik Soe Sorensen,Denmark,,470,67.14%,71/241,70.95%,Bronze,,,,,,,
1998,Mikkel Stensgaard,Denmark,,420,60.00%,85/241,65.15%,Bronze,,,,,,,
1998,Kristian Kraemmer Nielsen,Denmark,,240,34.29%,140/241,42.32%,,,,,,,,
1998,Kristoffer Hansen,Denmark,,220,31.43%,144/241,40.66%,,,,,,,,
1997,Kasper Dupont,Denmark,,409,68.17%,12/221,95.02%,Gold,,,,,,,
1997,Kaspar Holm Daugaard,Denmark,,378,63.00%,18/221,92.31%,Gold,,,,,,,
1997,Kasper Kristensen,Denmark,,309,51.50%,50/221,77.83%,Silver,,,,,,,
1997,Kasper Egdø,Denmark,,149,24.83%,140/221,37.10%,,,,,,,,
1996,Kasper Dupont,Denmark,,166,83.00%,32/220,85.91%,Silver,,,,,,,
1996,Kaspar Holm Daugaard,Denmark,,109,54.50%,102/220,54.09%,Bronze,,,,,,,
1996,Bjarke Roald Skjernaa,Denmark,,72,36.00%,145/220,34.55%,,,,,,,,
1996,Rune Alex Berg,Denmark,,46,23.00%,184/220,16.82%,,,,,,,,
1995,Bjarke Roald Skjernaa,Denmark,,96,48.00%,93/210,56.19%,Bronze,,,,,,,
1995,Anders Nedergaard Jensen,Denmark,,86,43.00%,115/210,45.71%,,,,,,,,
1995,Illum Vendler Rune,Denmark,,78,39.00%,120/210,43.33%,,,,,,,,
1995,Egil Hauge,Denmark,,26,13.00%,174/210,17.62%,,,,,,,,
1994,Egil Hauge,Denmark,,89,44.50%,59/189,69.31%,Bronze,,,,,,,
1994,Stefan Rpke,Denmark,,81,40.50%,63/189,67.20%,Bronze,,,,,,,
1994,Kim Pedersen,Denmark,,,,,,,,,,,,,
1994,Morten Nielsen,Denmark,,,,,,,,,,,,,
1993,Kim Pedersen,Denmark,,,,,,,,,,,,,
