Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
2005,Chethiya Abeysinghe,Sri Lanka,,277,46.17%,136/276,51.09%,Bronze,,,,,,,
2005,Sudirikku Mohanjith,Sri Lanka,,,,,,,,,,,,,
2005,Sandaruwan Gunathilake,Sri Lanka,,,,,,,,,,,,,
2005,Varuna Parinda Jayasiri,Sri Lanka,,,,,,,,,,,,,
2004,Varuna Parinda Jayasiri,Sri Lanka,,460,76.67%,17/291,94.50%,Gold,,,,,,,
2004,Chethiya Abeysinghe,Sri Lanka,,355,59.17%,79/291,73.20%,Bronze,,,,,,,
2004,Harshana Dantanarayana,Sri Lanka,,320,53.33%,102/291,65.29%,Bronze,,,,,,,
2004,Sandaruwan Gunathilake,Sri Lanka,,285,47.50%,129/291,56.01%,Bronze,,,,,,,
2003,Varuna Parinda Jayasiri,Sri Lanka,,320.9,53.48%,37/265,86.42%,Silver,,,,,,,
2003,Chethiya Abeysinghe,Sri Lanka,,230.6,38.43%,85/265,68.30%,Bronze,,,,,,,
2003,Harshana Dantanarayana,Sri Lanka,,,,,,,,,,,,,
2003,Sandaruwan Gunathilake,Sri Lanka,,,,,,,,,,,,,
2002,Chethiya Abeysinghe,Sri Lanka,,184,30.67%,97/276,65.22%,Bronze,,,,,,,
2002,Nayana Somaratna,Sri Lanka,,157,26.17%,123/276,55.80%,Bronze,,,,,,,
2002,Amila  de Silva,Sri Lanka,,,,,,,,,,,,,
2002,Harshana Dantanarayana,Sri Lanka,,,,,,,,,,,,,
2001,Nayana Somaratna,Sri Lanka,,390,65.00%,20/272,93.01%,Gold,,,,,,,
2001,Harshana Dantanarayana,Sri Lanka,,291,48.50%,60/272,78.31%,Silver,,,,,,,
2001,Pramila Ariyaratne,Sri Lanka,,152,25.33%,131/272,52.21%,Bronze,,,,,,,
2001,Sachintha Karunaratna,Sri Lanka,,,,,,,,,,,,,
2000,Tushara Karunaratna,Sri Lanka,,400,57.14%,73/278,74.10%,Bronze,,,,,,,
2000,Sasakthi Abeysinghe,Sri Lanka,,,,,,,,,,,,,
2000,Nayana Somaratna,Sri Lanka,,,,,,,,,,,,,
2000,Tyronne Silva,Sri Lanka,,,,,,,,,,,,,
1999,Tushara Karunaratna,Sri Lanka,,219,36.50%,72/253,71.94%,Bronze,,,,,,,
1999,Praneeth Wanigasekera,Sri Lanka,,,,,,,,,,,,,
1999,Sasakthi Abeysinghe,Sri Lanka,,,,,,,,,,,,,
1999,Nayana Somaratna,Sri Lanka,,,,,,,,,,,,,
1998,Asanka  Herath,Sri Lanka,,540,77.14%,41/241,83.40%,Silver,,,,,,,
1998,Tushara Karunaratna,Sri Lanka,,330,47.14%,116/241,52.28%,Bronze,,,,,,,
1998,Sasakthi Abeysinghe,Sri Lanka,,150,21.43%,164/241,32.37%,,,,,,,,
1998,Prabath Gunawardane,Sri Lanka,,90,12.86%,187/241,22.82%,,,,,,,,
1997,Buddhika Kottahachchi,Sri Lanka,,217,36.17%,100/221,55.20%,Bronze,,,,,,,
1997,Tushara Karunaratna,Sri Lanka,,117,19.50%,157/221,29.41%,,,,,,,,
1997,Isuru Malaka Seneviratne,Sri Lanka,,111,18.50%,161/221,27.60%,,,,,,,,
1997,Rohana Deshapriya Rezel,Sri Lanka,,96,16.00%,175/221,21.27%,,,,,,,,
1996,Sifaan Zavahir,Sri Lanka,,115,57.50%,90/220,59.55%,Bronze,,,,,,,
1996,Asanka  Herath,Sri Lanka,,105,52.50%,107/220,51.82%,Bronze,,,,,,,
1996,Buddhika Kottahachchi,Sri Lanka,,87,43.50%,121/220,45.45%,,,,,,,,
1996,Mestiyage Don Tyronne Sandeva Goonetilleke,Sri Lanka,,56,28.00%,174/220,21.36%,,,,,,,,
1995,Sifaan Zavahir,Sri Lanka,,152,76.00%,16/210,92.86%,Gold,,,,,,,
1995,Asanka  Herath,Sri Lanka,,124,62.00%,51/210,76.19%,Silver,,,,,,,
1995,Arjuna Wijeyekoon,Sri Lanka,,78,39.00%,120/210,43.33%,,,,,,,,
1995,Roshan Nalindra Sembacuttiaratchy,Sri Lanka,,19,9.50%,180/210,14.76%,,,,,,,,
1994,Sifaan Zavahir,Sri Lanka,,102,51.00%,40/189,79.37%,Silver,,,,,,,
1994,Arjuna Wijeyekoon,Sri Lanka,,,,,,,,,,,,,
1994,Buddhika Kottahachchi,Sri Lanka,,,,,,,,,,,,,
1994,Shehan Maduraperuma,Sri Lanka,,,,,,,,,,,,,
1993,Sifaan Zavahir,Sri Lanka,,,,,,,,,,,,,
1993,Arjuna Wijeyekoon,Sri Lanka,,,,,,,,,,,,,
1993,Devashi Amrith Wesumperuma,Sri Lanka,,,,,,,,,,,,,
1992,Sidath Jayawardena,Sri Lanka,,,,,,,,,,,,,
1992,Aroshan Jayasinghe,Sri Lanka,,,,,,,,,,,,,
1992,Gayan Jayaweera,Sri Lanka,,,,,,,,,,,,,
1992,Sifaan Zavahir,Sri Lanka,,,,,,,,,,,,,
