Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
2006,Laur Tooming,Estonia,,326,54.33%,67/282,76.60%,Silver,,,,,,,
2006,Rivo Laks,Estonia,,240,40.00%,126/282,55.67%,Bronze,,,,,,,
2006,Aleksandr Nikiforov,Estonia,,,,,,,,,,,,,
2006,Indrek Klanberg,Estonia,,,,,,,,,,,,,
2005,Laur Tooming,Estonia,,475,79.17%,29/276,89.86%,Silver,,,,,,,
2005,Jaan Vajakas,Estonia,,445,74.17%,46/276,83.70%,Silver,,,,,,,
2005,Mattias Linnap,Estonia,,294,49.00%,124/276,55.43%,Bronze,,,,,,,
2005,Margus Niitsoo,Estonia,,,,,,,,,,,,,
2004,Jaan Vajakas,Estonia,,380,63.33%,60/291,79.73%,Silver,,,,,,,
2004,Mattias Linnap,Estonia,,370,61.67%,67/291,77.32%,Silver,,,,,,,
2004,Laur Tooming,Estonia,,365,60.83%,73/291,75.26%,Silver,,,,,,,
2004,Marius Andra,Estonia,,270,45.00%,140/291,52.23%,Bronze,,,,,,,
2003,Mihkel Kree,Estonia,,275.4,45.90%,57/265,78.87%,Silver,,,,,,,
2003,Mattias Linnap,Estonia,,236.7,39.45%,79/265,70.57%,Bronze,,,,,,,
2003,Jaan Vajakas,Estonia,,,,,,,,,,,,,
2003,Avo Muromägi,Estonia,,,,,,,,,,,,,
2002,Martin Pettai,Estonia,,347,57.83%,13/276,95.65%,Gold,,,,,,,
2002,Andres Luuk,Estonia,,246,41.00%,56/276,80.07%,Silver,,,,,,,
2002,Mihkel Kree,Estonia,,234,39.00%,62/276,77.90%,Silver,,,,,,,
2002,Hendrik Nigul,Estonia,,187,31.17%,94/276,66.30%,Bronze,,,,,,,
2001,Martin Pettai,Estonia,,413,68.83%,17/272,94.12%,Gold,,,,,,,
2001,Kristo Tammeoja,Estonia,,196,32.67%,101/272,63.24%,Bronze,,,,,,,
2001,Hendrik Nigul,Estonia,,163,27.17%,125/272,54.41%,Bronze,,,,,,,
2001,Mihhail Aizatulin,Estonia,,,,,,,,,,,,,
2000,Martin Pettai,Estonia,,680,97.14%,5/278,98.56%,Gold,,,,,,,
2000,Endel Soolo,Estonia,,380,54.29%,75/278,73.38%,Bronze,,,,,,,
2000,Veiko Sammelselg,Estonia,,,,,,,,,,,,,
2000,Marko Rask,Estonia,,,,,,,,,,,,,
1999,Martin Pettai,Estonia,,300,50.00%,34/253,86.96%,Silver,,,,,,,
1999,Meelis Olev,Estonia,,199,33.17%,86/253,66.40%,Bronze,,,,,,,
1999,Pertti Soomann,Estonia,,,,,,,,,,,,,
1999,Endel Soolo,Estonia,,,,,,,,,,,,,
1998,Meelis Kull,Estonia,,450,64.29%,76/241,68.88%,Bronze,,,,,,,
1998,Jaak Sarv,Estonia,,440,62.86%,80/241,67.22%,Bronze,,,,,,,
1998,Dmitri Lepp,Estonia,,310,44.29%,120/241,50.62%,Bronze,,,,,,,
1998,Endel Soolo,Estonia,,250,35.71%,133/241,45.23%,,,,,,,,
1997,Oleg Mürk,Estonia,,450,75.00%,3/221,99.10%,Gold,,,,,,,
1997,Kristo Kuusküll,Estonia,,317,52.83%,43/221,81.00%,Silver,,,,,,,
1997,Tanel Linnas,Estonia,,180,30.00%,125/221,43.89%,,,,,,,,
1997,Lauri Lubi,Estonia,,158,26.33%,136/221,38.91%,,,,,,,,
1996,Oleg Mürk,Estonia,,157,78.50%,42/220,81.36%,Silver,,,,,,,
1996,Magnus Hiie,Estonia,,127,63.50%,75/220,66.36%,Bronze,,,,,,,
1996,Andres Lips,Estonia,,110,55.00%,99/220,55.45%,Bronze,,,,,,,
1996,Kristo Kuusküll,Estonia,,85,42.50%,127/220,42.73%,,,,,,,,
1995,Erik Laansoo,Estonia,,157,78.50%,13/210,94.29%,Gold,,,,,,,
1995,Heno Ivanov,Estonia,,127,63.50%,46/210,78.57%,Silver,,,,,,,
1995,Magnus Hiie,Estonia,,89,44.50%,107/210,49.52%,Bronze,,,,,,,
1995,Katri Saar,Estonia,,42,21.00%,160/210,24.29%,,,,,,,,
1995,Oleg Mürk,Estonia,,28,14.00%,172/210,18.57%,,,,,,,,
1994,Peeter Laud,Estonia,,125,62.50%,22/189,88.89%,Silver,,,,,,,
1994,Tambet Matiisen,Estonia,,70,35.00%,82/189,57.14%,Bronze,,,,,,,
1994,Toomas Tõnisson,Estonia,,66,33.00%,88/189,53.97%,Bronze,,,,,,,
1994,Heno Ivanov,Estonia,,,,,,,,,,,,,
1993,Peeter Laud,Estonia,,175,87.50%,15/155,90.97%,Silver,,,,,,,
1993,Rene Prillop,Estonia,,153,76.50%,46/155,70.97%,Bronze,,,,,,,
1993,Ervin Kaljola,Estonia,,144,72.00%,52/155,67.10%,Bronze,,,,,,,
1992,Peeter Laud,Estonia,,125,62.50%,81/171,53.22%,Bronze,,,,,,,
1992,Mart Jaanits,Estonia,,,,,,,,,,,,,
1992,Aldo Mett,Estonia,,,,,,,,,,,,,
