Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
2007,Agustín Santiago Gutiérrez,Argentina,,295,49.17%,66/285,77.19%,Silver,,,,,,,
2007,Javier Martin Corti,Argentina,,,,,,,,,,,,,
2007,Pablo Gauna,Argentina,,,,,,,,,,,,,
2007,Yueh-Wei Liang,Argentina,,,,,,,,,,,,,
2006,Yueh-Wei Liang,Argentina,,,,,,,,,,,,,
2006,Agustín Santiago Gutiérrez,Argentina,,,,,,,,,,,,,
2006,Pablo Gauna,Argentina,,,,,,,,,,,,,
2006,Javier Martin Corti,Argentina,,,,,,,,,,,,,
2005,Diego Andrés Vizia,Argentina,,345,57.50%,94/276,66.30%,Bronze,,,,,,,
2005,Javier Martin Corti,Argentina,,,,,,,,,,,,,
2005,Matias Daniel Fernandez,Argentina,,,,,,,,,,,,,
2005,Brian Curcio,Argentina,,,,,,,,,,,,,
2004,Joaquin Rodrigues,Argentina,,290,48.33%,124/291,57.73%,Bronze,,,,,,,
2004,Juan Pablo Marzetti,Argentina,,,,,,,,,,,,,
2004,Matias Daniel Fernandez,Argentina,,,,,,,,,,,,,
2004,Yue Yang,Argentina,,,,,,,,,,,,,
2003,Pablo Dal Lago,Argentina,,417.9,69.65%,7/265,97.74%,Gold,,,,,,,
2003,Alejandro Martin Deymonnaz,Argentina,,193.9,32.32%,112/265,58.11%,Bronze,,,,,,,
2003,Yue Yang,Argentina,,,,,,,,,,,,,
2003,Martin Valdes De Leon,Argentina,,,,,,,,,,,,,
2002,Pablo Dal Lago,Argentina,,196,32.67%,90/276,67.75%,Bronze,,,,,,,
2002,Alejandro Martin Deymonnaz,Argentina,,169,28.17%,107/276,61.59%,Bronze,,,,,,,
2002,Diego Alejandro Gavinowich,Argentina,,163,27.17%,115/276,58.70%,Bronze,,,,,,,
2002,Martin Valdes De Leon,Argentina,,,,,,,,,,,,,
2001,Pablo Dal Lago,Argentina,,363,60.50%,31/272,88.97%,Silver,,,,,,,
2001,Leandro Groisman,Argentina,,143,23.83%,136/272,50.37%,Bronze,,,,,,,
2001,Pablo Gabriel Colangelo,Argentina,,,,,,,,,,,,,
2001,Diego Alejandro Gavinowich,Argentina,,,,,,,,,,,,,
2000,Hernan Daniel Bandura,Argentina,,300,42.86%,106/278,62.23%,Bronze,,,,,,,
2000,Pablo Dal Lago,Argentina,,260,37.14%,124/278,55.76%,Bronze,,,,,,,
2000,Claudio Daniel Freire,Argentina,,249,35.57%,137/278,51.08%,Bronze,,,,,,,
2000,Gustavo Boniscontro,Argentina,,,,,,,,,,,,,
1999,Martin Dario Safe,Argentina,,290,48.33%,38/253,85.38%,Silver,,,,,,,
1999,Javier Sebastian Turek,Argentina,,200,33.33%,81/253,68.38%,Bronze,,,,,,,
1999,Juan Pablo Ferreyra,Argentina,,,,,,,,,,,,,
1999,Ariel Bendersky,Argentina,,,,,,,,,,,,,
1998,Matias Brunstein Macri,Argentina,,230,32.86%,143/241,41.08%,,,,,,,,
1998,Pablo Gabriel Bendersky,Argentina,,220,31.43%,144/241,40.66%,,,,,,,,
1998,Javier Sebastian Turek,Argentina,,210,30.00%,149/241,38.59%,,,,,,,,
1998,Luis Omar Picchio,Argentina,,0,0.00%,222/241,8.30%,,,,,,,,
1997,Martin Dario Safe,Argentina,,159,26.50%,135/221,39.37%,,,,,,,,
1997,Pablo Gabriel Bendersky,Argentina,,155,25.83%,138/221,38.01%,,,,,,,,
1997,Matias Brunstein Macri,Argentina,,100,16.67%,169/221,23.98%,,,,,,,,
1997,German Ariel Pellejero,Argentina,,0,0.00%,215/221,3.17%,,,,,,,,
1994,Ariel Futoransky,Argentina,,115,57.50%,30/189,84.66%,Silver,,,,,,,
1994,Sergio Lerner,Argentina,,77,38.50%,70/189,63.49%,Bronze,,,,,,,
1994,Diego Bendersky,Argentina,,65,32.50%,98/189,48.68%,Bronze,,,,,,,
1994,Juan Leni,Argentina,,,,,,,,,,,,,
1993,Sergio Lerner,Argentina,,169,84.50%,29/155,81.94%,Silver,,,,,,,
1993,Ariel Futoransky,Argentina,,142,71.00%,54/155,65.81%,Bronze,,,,,,,
1992,Gabriel Ale Moreno,Argentina,,193,96.50%,20/171,88.89%,Silver,,,,,,,
1992,Ernesto Kofman,Argentina,,185,92.50%,30/171,83.04%,Silver,,,,,,,
1992,Ariel Futoransky,Argentina,,145,72.50%,69/171,60.23%,Bronze,,,,,,,
1992,Andres Agnese,Argentina,,,,,,,,,,,,,
1991,Gustavo Massaccesi,Argentina,,126,63.00%,24/68,66.18%,Bronze,,,,,,,
1991,Alejandro Backer,Argentina,,98,49.00%,46/68,33.82%,,,,,,,,
1991,Mariano E Barcia,Argentina,,49,24.50%,57/68,17.65%,,,,,,,,
1990,Nicolas Kuzminski,Argentina,,111,55.50%,8/100,93.00%,Gold,,,,,,,
1990,Dario Robak,Argentina,,76,38.00%,27/100,74.00%,Bronze,,,,,,,
1990,Alejandro Backer,Argentina,,,,,,,,,,,,,
1990,Mastracchio,Argentina,,,,,,,,,,,,,
