Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
2009,Christian Adán Hernández Sánchez,Mexico,,,,,,,,,,,,,
2009,José Agustín de Jesús Barrios García,Mexico,,,,,,,,,,,,,
2009,Jorge Alberto González Martínez,Mexico,,,,,,,,,,,,,
2008,Enrique Lira Vargas,Mexico,,248,41.33%,57/283,80.21%,Silver,,,,,,,
2008,Rodrigo Ruben Santiago Nieves,Mexico,,140,23.33%,134/283,53.00%,Bronze,,,,,,,
2008,Alberto José Ramírez Valadez,Mexico,,,,,,,,,,,,,
2008,Marcel Stöckli Contreras,Mexico,,,,,,,,,,,,,
2007,Miguel Angel Covarrubias,Mexico,,271,45.17%,80/285,72.28%,Bronze,,,,,,,
2007,Nephtalí Garrido González,Mexico,,,,,,,,,,,,,
2007,Luis Eduardo Enciso Osuna,Mexico,,,,,,,,,,,,,
2007,Marcel Stöckli Contreras,Mexico,,,,,,,,,,,,,
2006,Luis Enrique Vargas Azcona,Mexico,,284,47.33%,94/282,67.02%,Bronze,,,,,,,
2006,Nephtalí Garrido González,Mexico,,,,,,,,,,,,,
2006,Félix Rafael Horta Cuadrilla,Mexico,,,,,,,,,,,,,
2006,Jaime Mantecón Loyo,Mexico,,,,,,,,,,,,,
2006,Luis Eduardo Enciso Osuna,Mexico 2,,,,,,,,,,,,,
2006,Miguel Angel Covarrubias,Mexico 2,,,,,,,,,,,,,
2006,Juan Pablo Marín Rosas,Mexico 2,,,,,,,,,,,,,
2006,Jesús David Venzor Cárdenas,Mexico 2,,,,,,,,,,,,,
2005,Luis Enrique Vargas Azcona,Mexico,,322,53.67%,108/276,61.23%,Bronze,,,,,,,
2005,Joemmanuel Ponce Galindo,Mexico,,,,,,,,,,,,,
2005,Alejandro Enrique Plancarte Ibarra,Mexico,,,,,,,,,,,,,
2005,José Francisco Mendoza Noriega,Mexico,,,,,,,,,,,,,
2004,Arturo Aguirre Escobar,Mexico,,,,,,,,,,,,,
2004,Francisco Alejandro García Cebada,Mexico,,,,,,,,,,,,,
2004,Guillermo Enrique Carro Prado,Mexico,,,,,,,,,,,,,
2004,Luis Enrique Vargas Azcona,Mexico,,,,,,,,,,,,,
2003,Roberto Lopez,Mexico,,,,,,,,,,,,,
2003,Juan Francisco Padilla,Mexico,,,,,,,,,,,,,
2003,Heron Anzures,Mexico,,,,,,,,,,,,,
2003,Fernando Garcia,Mexico,,,,,,,,,,,,,
2002,Jorge Del Rio,Mexico,,145,24.17%,132/276,52.54%,Bronze,,,,,,,
2002,Manuel Torres,Mexico,,,,,,,,,,,,,
2002,Jesus Puente,Mexico,,,,,,,,,,,,,
2002,Eduardo Lopez,Mexico,,,,,,,,,,,,,
2001,Maricarmen Ojeda,Mexico,,,,,,,,,,,,,
2001,Jesus Puente,Mexico,,,,,,,,,,,,,
2001,Jose Varela,Mexico,,,,,,,,,,,,,
2001,Marco Antonio Hernandez,Mexico,,,,,,,,,,,,,
2000,Enrique Ochoa,Mexico,,,,,,,,,,,,,
2000,Javier Zatarain,Mexico,,,,,,,,,,,,,
2000,Estanislao Fidelholtz,Mexico,,,,,,,,,,,,,
2000,Marco Antonio Hernandez,Mexico,,,,,,,,,,,,,
1999,Alejandro Lopez Baragano,Mexico,,213,35.50%,73/253,71.54%,Bronze,,,,,,,
1999,Marco Antonio Hernandez,Mexico,,,,,,,,,,,,,
1999,Luis Alfonso Vega Garcia,Mexico,,,,,,,,,,,,,
1999,Omar Ocegueda,Mexico,,,,,,,,,,,,,
1998,Erick Moreno Centeno,Mexico,,250,35.71%,133/241,45.23%,,,,,,,,
1998,Alejandro Lopez Baragano,Mexico,,170,24.29%,158/241,34.85%,,,,,,,,
1998,Jose Victor Cruz Macias,Mexico,,50,7.14%,205/241,15.35%,,,,,,,,
1998,Luis Alfonso Vega Garcia,Mexico,,30,4.29%,212/241,12.45%,,,,,,,,
1997,Josue Ramirez Ortiz,Mexico,,106,17.67%,166/221,25.34%,,,,,,,,
1997,Oscar Trejo Huerta,Mexico,,65,10.83%,186/221,16.29%,,,,,,,,
1997,Alejandra Villaseñor Ancira,Mexico,,41,6.83%,197/221,11.31%,,,,,,,,
1997,María del Mar Cepeda García,Mexico,,17,2.83%,209/221,5.88%,,,,,,,,
1996,Josue Ramirez Ortiz,Mexico,,53,26.50%,176/220,20.45%,,,,,,,,
1996,Ruben Daniel Varela Velasco,Mexico,,40,20.00%,189/220,14.55%,,,,,,,,
1996,María del Mar Cepeda García,Mexico,,14,7.00%,209/220,5.45%,,,,,,,,
1996,Xavier Reyes Suarez,Mexico,,13,6.50%,210/220,5.00%,,,,,,,,
1995,Antonio Ramirez,Mexico,,83,41.50%,117/210,44.76%,,,,,,,,
1995,Abel Valadez Martinez,Mexico,,53,26.50%,146/210,30.95%,,,,,,,,
1995,Gerardo Martinez,Mexico,,13,6.50%,185/210,12.38%,,,,,,,,
1995,Joel  Pérez Hernandez,Mexico,,12,6.00%,186/210,11.90%,,,,,,,,
1994,Abel Valadez Martinez,Mexico,,,,,,,,,,,,,
1994,Joel  Pérez Hernandez,Mexico,,,,,,,,,,,,,
1994,Nestor Eduardo Morales Garcia,Mexico,,,,,,,,,,,,,
1994,Hugo Alberto Estrada Basaldua,Mexico,,,,,,,,,,,,,
1993,César Arturo Cepeda García,Mexico,,132,66.00%,68/155,56.77%,Bronze,,,,,,,
1993,Xochitl Hernández,Mexico,,,,,,,,,,,,,
