Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
2009,Madiyar Aitbayev,Kazakhstan,429,53.62%,117/301,61.46%,Bronze,,,,,,,,
2009,Amir Tulegenov,Kazakhstan,406,50.75%,138/301,54.49%,Bronze,,,,,,,,
2009,Ali Dautalinov,Kazakhstan,,,,,,,,,,,,,
2009,Darkhan Akzholov,Kazakhstan,,,,,,,,,,,,,
2008,Zhomart Sadykov,Kazakhstan,,303,50.50%,29/283,90.11%,Silver,,,,,,,
2008,Bakhytzhan Baizhikenov,Kazakhstan,,251,41.83%,56/283,80.57%,Silver,,,,,,,
2008,Arman Yesenamanov,Kazakhstan,,,,,,,,,,,,,
2008,Yernaz Satybaldiyev,Kazakhstan,,,,,,,,,,,,,
2007,Zhomart Sadykov,Kazakhstan,,420,70.00%,15/285,95.09%,Gold,,,,,,,
2007,Bakhytzhan Baizhikenov,Kazakhstan,,415,69.17%,17/285,94.39%,Gold,,,,,,,
2007,Timur Abishev,Kazakhstan,,362,60.33%,32/285,89.12%,Silver,,,,,,,
2007,Viktor Passichenko,Kazakhstan,,246,41.00%,103/285,64.21%,Bronze,,,,,,,
2006,Yerlan Bissenov,Kazakhstan,,378,63.00%,27/282,90.78%,Silver,,,,,,,
2006,Timur Abishev,Kazakhstan,,300,50.00%,84/282,70.57%,Bronze,,,,,,,
2006,Zhomart Sadykov,Kazakhstan,,293,48.83%,88/282,69.15%,Bronze,,,,,,,
2006,Bakhytzhan Baizhikenov,Kazakhstan,,242,40.33%,123/282,56.74%,Bronze,,,,,,,
2005,Yerlan Bissenov,Kazakhstan,,359,59.83%,88/276,68.48%,Bronze,,,,,,,
2005,Timur Abishev,Kazakhstan,,338,56.33%,97/276,65.22%,Bronze,,,,,,,
2005,Bakhytzhan Baizhikenov,Kazakhstan,,315,52.50%,113/276,59.42%,Bronze,,,,,,,
2005,Ruslan Kudubayev,Kazakhstan,,,,,,,,,,,,,
2004,Zhanibek Datbayev,Kazakhstan,,425,70.83%,33/291,89.00%,Silver,,,,,,,
2004,Syrymbet Iskakov,Kazakhstan,,360,60.00%,76/291,74.23%,Bronze,,,,,,,
2004,Salamat Nuraliyev,Kazakhstan,,275,45.83%,134/291,54.30%,Bronze,,,,,,,
2004,Almaz Rakhmetov,Kazakhstan,,,,,,,,,,,,,
2003,Anton Nikolayev,Kazakhstan,,174.3,29.05%,128/265,52.08%,Bronze,,,,,,,
2003,Zhanibek Datbayev,Kazakhstan,,,,,,,,,,,,,
2003,Sultan Dalipov,Kazakhstan,,,,,,,,,,,,,
2003,Andrey Bogdanchikov,Kazakhstan,,,,,,,,,,,,,
2002,Zhanibek Datbayev,Kazakhstan,,,,,,,,,,,,,
2002,Nurzhan Bakibayev,Kazakhstan,,,,,,,,,,,,,
2002,Khairosh Yerzhan,Kazakhstan,,,,,,,,,,,,,
2002,Anton Nikolayev,Kazakhstan,,,,,,,,,,,,,
2001,Nurzhan Bakibayev,Kazakhstan,,217,36.17%,94/272,65.81%,Bronze,,,,,,,
2001,Semen Shkilevich,Kazakhstan,,188,31.33%,106/272,61.40%,Bronze,,,,,,,
2001,Denis Ivanov,Kazakhstan,,,,,,,,,,,,,
2001,Askarbek Zadauly,Kazakhstan,,,,,,,,,,,,,
2000,Danil Kravtsov,Kazakhstan,,,,,,,,,,,,,
2000,Arman Prashev,Kazakhstan,,,,,,,,,,,,,
2000,Semen Shkilevich,Kazakhstan,,,,,,,,,,,,,
2000,Nurzhan Bakibayev,Kazakhstan,,,,,,,,,,,,,
1999,Arman Prashev,Kazakhstan,,157,26.17%,115/253,54.94%,Bronze,,,,,,,
1999,Dmitriy Gorbachev,Kazakhstan,,,,,,,,,,,,,
1999,Danil Kravtsov,Kazakhstan,,,,,,,,,,,,,
1999,Yerkebulan Tulibergenov,Kazakhstan,,,,,,,,,,,,,
1998,Beket Zhapbasbay,Kazakhstan,,140,20.00%,169/241,30.29%,,,,,,,,
1998,Renat Shaimardanov,Kazakhstan,,90,12.86%,187/241,22.82%,,,,,,,,
1998,Maxat Aipanov,Kazakhstan,,20,2.86%,217/241,10.37%,,,,,,,,
1998,Arman Prashev,Kazakhstan,,0,0.00%,222/241,8.30%,,,,,,,,
