Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
2009,You Cheng Syu,Taiwan,495,61.88%,74/301,75.75%,Silver,,,,,,,,
2008,Han Jay Yang,Taiwan,,397,66.17%,16/283,94.70%,Gold,,,,,,,
2008,Che Yang Wu,Taiwan,,356,59.33%,24/283,91.87%,Gold,,,,,,,
2008,You Cheng Syu,Taiwan,,233,38.83%,68/283,76.33%,Silver,,,,,,,
2008,Shuo fu Chen,Taiwan,,192,32.00%,97/283,66.08%,Bronze,,,,,,,
2007,BoJhang Ho,Taiwan,,432,72.00%,12/285,96.14%,Gold,,,,,,,
2007,Shang-En Huang,Taiwan,,388,64.67%,24/285,91.93%,Gold,,,,,,,
2007,Han Jay Yang,Taiwan,,342,57.00%,40/285,86.32%,Silver,,,,,,,
2007,Chih Cheng Shih,Taiwan,,256,42.67%,87/285,69.82%,Bronze,,,,,,,
2006,Chun-Sung Ferng,Taiwan,,384,64.00%,25/282,91.49%,Silver,,,,,,,
2006,Po-Lung Chen,Taiwan,,370,61.67%,32/282,89.01%,Silver,,,,,,,
2006,Tzay-Yeu Wen,Taiwan,,320,53.33%,71/282,75.18%,Silver,,,,,,,
2006,Te-Yu Tsai,Taiwan,,265,44.17%,103/282,63.83%,Bronze,,,,,,,
2005,Chun-Ta Lin,Taiwan,,461,76.83%,35/276,87.68%,Silver,,,,,,,
2005,Yu-Fan Ho,Taiwan,,450,75.00%,39/276,86.23%,Silver,,,,,,,
2005,Chun-Sung Ferng,Taiwan,,416,69.33%,59/276,78.99%,Silver,,,,,,,
2005,Hsin-Hao Su,Taiwan,,296,49.33%,121/276,56.52%,Bronze,,,,,,,
2004,Hsu-Chieh Lee,Taiwan,,390,65.00%,52/291,82.47%,Silver,,,,,,,
2004,Tien-Ren Chen,Taiwan,,390,65.00%,52/291,82.47%,Silver,,,,,,,
2004,Chun-Ta Lin,Taiwan,,350,58.33%,82/291,72.16%,Bronze,,,,,,,
2004,Yi Chen,Taiwan,,275,45.83%,134/291,54.30%,Bronze,,,,,,,
2003,Kuen-Bang Hou,Taiwan,,355.9,59.32%,20/265,92.83%,Gold,,,,,,,
2003,Tai-Hsu Lin,Taiwan,,343.9,57.32%,25/265,90.94%,Silver,,,,,,,
2003,Cheng-Yang Tsai,Taiwan,,203.9,33.98%,108/265,59.62%,Bronze,,,,,,,
2003,Cho-Jui Hsieh,Taiwan,,,,,,,,,,,,,
2002,Yin Wang,Taiwan,,378,63.00%,8/276,97.46%,Gold,,,,,,,
2002,Cheng-Yu Lee,Taiwan,,252,42.00%,49/276,82.61%,Silver,,,,,,,
2002,Shu-Chun Weng,Taiwan,,238,39.67%,59/276,78.99%,Silver,,,,,,,
2002,Tsung-Chieh Chang,Taiwan,,173,28.83%,104/276,62.68%,Bronze,,,,,,,
2001,Yi-hao Kao,Taiwan,,283,47.17%,63/272,77.21%,Silver,,,,,,,
2001,Chun-Hung Hsiao,Taiwan,,252,42.00%,75/272,72.79%,Bronze,,,,,,,
2001,Cheng-Yu Lee,Taiwan,,,,,,,,,,,,,
2001,Ya-Lin Huang,Taiwan,,,,,,,,,,,,,
2000,Yin Wang,Taiwan,,460,65.71%,41/278,85.61%,Silver,,,,,,,
2000,Heng Ruey Hsu,Taiwan,,445,63.57%,51/278,82.01%,Silver,,,,,,,
