Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
2008,Zurab Kutsia,Georgia,,148,24.67%,124/283,56.54%,Bronze,,,,,,,
2008,Levan Varamashvili,Georgia,,147,24.50%,127/283,55.48%,Bronze,,,,,,,
2008,Mariam Kobiashvili,Georgia,,136,22.67%,137/283,51.94%,Bronze,,,,,,,
2008,Tsotne Tabidze,Georgia,,,,,,,,,,,,,
2007,Rati Gelashvili,Georgia,,228,38.00%,117/285,59.30%,Bronze,,,,,,,
2007,David Tvaltchrelidze,Georgia,,226,37.67%,119/285,58.60%,Bronze,,,,,,,
2007,Giorgi Nadiradze,Georgia,,198,33.00%,136/285,52.63%,Bronze,,,,,,,
2007,Levan Varamashvili,Georgia,,,,,,,,,,,,,
2006,Zviad Metreveli,Georgia,,360,60.00%,37/282,87.23%,Silver,,,,,,,
2006,David Tvaltchrelidze,Georgia,,328,54.67%,65/282,77.30%,Silver,,,,,,,
2006,Giorgi Lekveishvili,Georgia,,288,48.00%,91/282,68.09%,Bronze,,,,,,,
2006,Giorgi Nadiradze,Georgia,,278,46.33%,99/282,65.25%,Bronze,,,,,,,
2005,Zviad Metreveli,Georgia,,353,58.83%,91/276,67.39%,Bronze,,,,,,,
2005,Giorgi Nadiradze,Georgia,,280,46.67%,132/276,52.54%,Bronze,,,,,,,
2005,Mikheil Amashukeli,Georgia,,,,,,,,,,,,,
2005,Giorgi Lekveishvili,Georgia,,,,,,,,,,,,,
2004,Zviad Metreveli,Georgia,,415,69.17%,40/291,86.60%,Silver,,,,,,,
2004,Irakli Khomeriki,Georgia,,290,48.33%,124/291,57.73%,Bronze,,,,,,,
2004,David Tvaltchrelidze,Georgia,,,,,,,,,,,,,
2004,Giorgi Lekveishvili,Georgia,,,,,,,,,,,,,
2003,Nicholas Jimsheleishvili,Georgia,,238.4,39.73%,78/265,70.94%,Bronze,,,,,,,
2003,Zviad Metreveli,Georgia,,225.5,37.58%,91/265,66.04%,Bronze,,,,,,,
2003,Revaz Khurtsilava,Georgia,,,,,,,,,,,,,
2003,Mikheil Amashukeli,Georgia,,,,,,,,,,,,,
2002,Nicholas Jimsheleishvili,Georgia,,258,43.00%,43/276,84.78%,Silver,,,,,,,
2002,Alexander Tarkhnishvili,Georgia,,148,24.67%,131/276,52.90%,Bronze,,,,,,,
2002,Giorgi Bochorishvili,Georgia,,,,,,,,,,,,,
2002,Zviad Metreveli,Georgia,,,,,,,,,,,,,
2001,Archil Tsiskaridze,Georgia,,212,35.33%,96/272,65.07%,Bronze,,,,,,,
2001,Zviad Metreveli,Georgia,,185,30.83%,109/272,60.29%,Bronze,,,,,,,
2001,Lasha Bandzeladze,Georgia,,,,,,,,,,,,,
2001,Shota Gvinepadze,Georgia,,,,,,,,,,,,,
2000,Archil Tsiskaridze,Georgia,,430,61.43%,54/278,80.94%,Silver,,,,,,,
2000,David Kotishadze,Georgia,,,,,,,,,,,,,
2000,Giorgi Bochorishvili,Georgia,,,,,,,,,,,,,
2000,Shota Gvinepadze,Georgia,,,,,,,,,,,,,
1999,Roman Akopov,Georgia,,,,,,,,,,,,,
1999,Irakli Manelidze,Georgia,,,,,,,,,,,,,
1999,Shota Gvinepadze,Georgia,,,,,,,,,,,,,
1999,Archil Tsiskaridze,Georgia,,,,,,,,,,,,,
1998,Giorgi Mania,Georgia,,270,38.57%,127/241,47.72%,,,,,,,,
1998,Grigor Ovanesian,Georgia,,140,20.00%,169/241,30.29%,,,,,,,,
1998,Archil Tsiskaridze,Georgia,,70,10.00%,195/241,19.50%,,,,,,,,
1998,Danieli Ratiani,Georgia,,30,4.29%,212/241,12.45%,,,,,,,,
1997,Giorgi Mania,Georgia,,120,20.00%,156/221,29.86%,,,,,,,,
1997,Bekari Bartaia,Georgia,,105,17.50%,167/221,24.89%,,,,,,,,
1997,Giorgi Sazheniuki,Georgia,,63,10.50%,189/221,14.93%,,,,,,,,
1997,Tea Kharitonashvili,Georgia,,20,3.33%,205/221,7.69%,,,,,,,,
1996,Konstantin Lomidze,Georgia,,72,36.00%,145/220,34.55%,,,,,,,,
1996,Giorgi Mania,Georgia,,58,29.00%,172/220,22.27%,,,,,,,,
1996,Bekari Bartaia,Georgia,,37,18.50%,191/220,13.64%,,,,,,,,
1996,George Dalakishvili,Georgia,,18,9.00%,207/220,6.36%,,,,,,,,
