Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
2007,Žiga Osolin,Slovenia,,,,,,,,,,,,,
2006,Nino Basic,Slovenia,,286,47.67%,92/282,67.73%,Bronze,,,,,,,
2006,Matjaž Gomilšek,Slovenia,,279,46.50%,98/282,65.60%,Bronze,,,,,,,
2006,Cvetko Pirš,Slovenia,,,,,,,,,,,,,
2006,Jan Berčič,Slovenia,,,,,,,,,,,,,
2005,Cvetko Pirš,Slovenia,,,,,,,,,,,,,
2005,Aljaž Osojnik,Slovenia,,,,,,,,,,,,,
2005,Jan Berčič,Slovenia,,,,,,,,,,,,,
2005,Matjaž Gomilšek,Slovenia,,,,,,,,,,,,,
2004,Mitja Trampus,Slovenia,,300,50.00%,115/291,60.82%,Bronze,,,,,,,
2004,Jurij Kodre,Slovenia,,,,,,,,,,,,,
2004,Matija Polajnar,Slovenia,,,,,,,,,,,,,
2004,Ruben Sipos,Slovenia,,,,,,,,,,,,,
2003,Ivo List,Slovenia,,233.9,38.98%,84/265,68.68%,Bronze,,,,,,,
2003,Matej Jan,Slovenia,,216.4,36.07%,96/265,64.15%,Bronze,,,,,,,
2003,Jurij Kodre,Slovenia,,204.9,34.15%,106/265,60.38%,Bronze,,,,,,,
2003,Andrej Poljanec,Slovenia,,,,,,,,,,,,,
2002,Matej Jan,Slovenia,,183,30.50%,98/276,64.86%,Bronze,,,,,,,
2002,Tomaž Gregorec,Slovenia,,,,,,,,,,,,,
2002,Ivo List,Slovenia,,,,,,,,,,,,,
2002,Ruben Sipos,Slovenia,,,,,,,,,,,,,
2001,Ivo List,Slovenia,,,,,,,,,,,,,
2001,Blaz Fortuna,Slovenia,,,,,,,,,,,,,
2001,Andrej Kosmrlj,Slovenia,,,,,,,,,,,,,
2001,Ruben Sipos,Slovenia,,,,,,,,,,,,,
2000,Blaz Novak,Slovenia,,,,,,,,,,,,,
2000,Ivo List,Slovenia,,,,,,,,,,,,,
2000,Andraz Tori,Slovenia,,,,,,,,,,,,,
2000,Anze Zagar,Slovenia,,,,,,,,,,,,,
1999,Andraz Tori,Slovenia,,150,25.00%,117/253,54.15%,Bronze,,,,,,,
1999,Jurij Leskovec,Slovenia,,,,,,,,,,,,,
1999,Blaz Novak,Slovenia,,,,,,,,,,,,,
1999,Anze Zagar,Slovenia,,,,,,,,,,,,,
1998,Matej Rizman,Slovenia,,330,47.14%,116/241,52.28%,Bronze,,,,,,,
1998,Miha Grčar,Slovenia,,120,17.14%,173/241,28.63%,,,,,,,,
