Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
2008,Peter Fulla,Slovakia,,200,33.33%,92/283,67.84%,Bronze,,,,,,,
2008,Samuel Hapák,Slovakia,,129,21.50%,138/283,51.59%,Bronze,,,,,,,
2007,Michal Danilák,Slovakia,,366,61.00%,31/285,89.47%,Silver,,,,,,,
2007,Vladimír Boža,Slovakia,,311,51.83%,57/285,80.35%,Silver,,,,,,,
2007,Peter Ondrúška,Slovakia,,275,45.83%,78/285,72.98%,Bronze,,,,,,,
2007,Jozef Jirásek,Slovakia,,,,,,,,,,,,,
2006,Daniel Bundala,Slovakia,,358,59.67%,41/282,85.82%,Silver,,,,,,,
2006,Jan Mikulas,Slovakia,,322,53.67%,69/282,75.89%,Silver,,,,,,,
2006,Peter Perešíni,Slovakia,,315,52.50%,74/282,74.11%,Silver,,,,,,,
2006,Jakub Imriška,Slovakia,,,,,,,,,,,,,
2005,Michal Burger,Slovakia,,576,96.00%,6/276,98.19%,Gold,,,,,,,
2005,Jakub Závodný,Slovakia,,536,89.33%,15/276,94.93%,Gold,,,,,,,
2005,František Simančík,Slovakia,,500,83.33%,22/276,92.39%,Gold,,,,,,,
2005,Peter Perešíni,Slovakia,,496,82.67%,24/276,91.67%,Gold,,,,,,,
2004,František Simančík,Slovakia,,430,71.67%,30/291,90.03%,Silver,,,,,,,
2004,Miroslav Baláž,Slovakia,,395,65.83%,51/291,82.82%,Silver,,,,,,,
2004,Peter Perešíni,Slovakia,,360,60.00%,76/291,74.23%,Bronze,,,,,,,
2004,Marek Ludha,Slovakia,,305,50.83%,109/291,62.89%,Bronze,,,,,,,
2003,Jakub Závodný,Slovakia,,352.9,58.82%,22/265,92.08%,Gold,,,,,,,
2003,Michal Burger,Slovakia,,287.0,47.83%,51/265,81.13%,Silver,,,,,,,
2003,František Simančík,Slovakia,,235.9,39.32%,81/265,69.81%,Bronze,,,,,,,
2003,Marek Ludha,Slovakia,,,,,,,,,,,,,
2002,Peter Bella,Slovakia,,339,56.50%,16/276,94.57%,Gold,,,,,,,
2002,Tomáš Dzetkulič,Slovakia,,286,47.67%,29/276,89.86%,Silver,,,,,,,
2002,Jozef Tvarožek,Slovakia,,231,38.50%,64/276,77.17%,Silver,,,,,,,
2002,Radovan Bauer,Slovakia,,224,37.33%,71/276,74.64%,Bronze,,,,,,,
2001,Ján Oravec,Slovakia,,420,70.00%,12/272,95.96%,Gold,,,,,,,
2001,Marián Dvorský,Slovakia,,415,69.17%,15/272,94.85%,Gold,,,,,,,
2001,Tomáš Záthurecký,Slovakia,,338,56.33%,38/272,86.40%,Silver,,,,,,,
2001,Jozef Tvarožek,Slovakia,,329,54.83%,40/272,85.66%,Silver,,,,,,,
2000,Ján Oravec,Slovakia,,527,75.29%,28/278,90.29%,Silver,,,,,,,
2000,Marián Dvorský,Slovakia,,520,74.29%,29/278,89.93%,Silver,,,,,,,
2000,Peter Košinár,Slovakia,,370,52.86%,81/278,71.22%,Bronze,,,,,,,
2000,Tomáš Záthurecký,Slovakia,,350,50.00%,91/278,67.63%,Bronze,,,,,,,
1999,Michal Forišek,Slovakia,,418,69.67%,7/253,97.63%,Gold,,,,,,,
1999,Richard Královič,Slovakia,,404,67.33%,8/253,97.23%,Gold,,,,,,,
1999,Ján Senko,Slovakia,,210,35.00%,74/253,71.15%,Bronze,,,,,,,
1999,Ján Lunter,Slovakia,,,,,,,,,,,,,
1998,Ján Senko,Slovakia,,680,97.14%,5/241,98.34%,Gold,,,,,,,
1998,Michal Forišek,Slovakia,,680,97.14%,5/241,98.34%,Gold,,,,,,,
1998,Stanislav Funiak,Slovakia,,680,97.14%,5/241,98.34%,Gold,,,,,,,
1998,Richard Královič,Slovakia,,660,94.29%,16/241,93.78%,Gold,,,,,,,
1997,Miroslav Dudík,Slovakia,,384,64.00%,15/221,93.67%,Gold,,,,,,,
1997,Stanislav Funiak,Slovakia,,358,59.67%,26/221,88.69%,Silver,,,,,,,
1997,Martin Hajduch,Slovakia,,335,55.83%,39/221,82.81%,Silver,,,,,,,
1997,Richard Královič,Slovakia,,311,51.83%,46/221,79.64%,Silver,,,,,,,
1996,Dušan Bezák,Slovakia,,190,95.00%,4/220,98.64%,Gold,,,,,,,
1996,Miroslav Dudík,Slovakia,,186,93.00%,8/220,96.82%,Gold,,,,,,,
1996,Martin Hajduch,Slovakia,,156,78.00%,43/220,80.91%,Silver,,,,,,,
1996,Martin Jandacka,Slovakia,,152,76.00%,51/220,77.27%,Silver,,,,,,,
1995,Martin Makúch,Slovakia,,149,74.50%,21/210,90.48%,Silver,,,,,,,
1995,Miroslav Dudík,Slovakia,,130,65.00%,42/210,80.48%,Silver,,,,,,,
1995,Peter Gašpar,Slovakia,,100,50.00%,86/210,59.52%,Bronze,,,,,,,
1995,Dušan Bezák,Slovakia,,91,45.50%,104/210,50.95%,Bronze,,,,,,,
1994,Tomáš Vinař,Slovakia,,155,77.50%,12/189,94.18%,Gold,,,,,,,
1994,Martin Makúch,Slovakia,,117,58.50%,28/189,85.71%,Silver,,,,,,,
1994,Peter Zuffa,Slovakia,,101,50.50%,43/189,77.78%,Silver,,,,,,,
1994,Bronislava Brejova,Slovakia,,80,40.00%,68/189,64.55%,Bronze,,,,,,,
1993,Tomáš Vinař,Slovakia,,196,98.00%,5/155,97.42%,Gold,,,,,,,
1993,Daniel Stefankovic,Slovakia,,186,93.00%,11/155,93.55%,Gold,,,,,,,
1993,Bronislava Brejova,Slovakia,,174,87.00%,26/155,83.87%,Silver,,,,,,,
1993,Matej Ondrusek,Slovakia,,158,79.00%,41/155,74.19%,Bronze,,,,,,,
