Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
2007,Martin Maas,Germany,,,,,,,,,,,,,
2006,Benjamin Berger,Germany,,256,42.67%,112/282,60.64%,Bronze,,,,,,,
2006,Erik Panzer,Germany,,231,38.50%,134/282,52.84%,Bronze,,,,,,,
2006,Daniel Grunwald,Germany,,,,,,,,,,,,,
2006,Ludwig Schmidt,Germany,,,,,,,,,,,,,
2005,Thomas Fersch,Germany,,446,74.33%,45/276,84.06%,Silver,,,,,,,
2005,Benjamin Franz,Germany,,433,72.17%,51/276,81.88%,Silver,,,,,,,
2005,Felix Arends,Germany,,369,61.50%,84/276,69.93%,Bronze,,,,,,,
2005,Erik Panzer,Germany,,293,48.83%,126/276,54.71%,Bronze,,,,,,,
2004,Thomas Fersch,Germany,,455,75.83%,21/291,93.13%,Gold,,,,,,,
2004,Felix Arends,Germany,,330,55.00%,95/291,67.70%,Bronze,,,,,,,
2004,Erik Panzer,Germany,,305,50.83%,109/291,62.89%,Bronze,,,,,,,
2004,Christian Ebke,Germany,,275,45.83%,134/291,54.30%,Bronze,,,,,,,
2003,Heinrich-Gregor Zirnstein,Germany,,290.5,48.42%,49/265,81.89%,Silver,,,,,,,
2003,Alexander Hullmann,Germany,,262.4,43.73%,64/265,76.23%,Silver,,,,,,,
2003,David Steurer,Germany,,179.4,29.90%,123/265,53.96%,Bronze,,,,,,,
2003,Thomas Fersch,Germany,,,,,,,,,,,,,
2002,Benjamin Dittes,Germany,,219,36.50%,75/276,73.19%,Bronze,,,,,,,
2002,Alexander Hullmann,Germany,,197,32.83%,88/276,68.48%,Bronze,,,,,,,
2002,Melanie Schmidt,Germany,,,,,,,,,,,,,
2002,Urs Ganse,Germany,,,,,,,,,,,,,
2001,Daniel Jasper,Germany,,470,78.33%,4/272,98.90%,Gold,,,,,,,
2001,Michael Siepmann,Germany,,320,53.33%,45/272,83.82%,Silver,,,,,,,
2001,Benjamin Dittes,Germany,,246,41.00%,80/272,70.96%,Bronze,,,,,,,
2001,Tobias Polley,Germany,,246,41.00%,80/272,70.96%,Bronze,,,,,,,
2000,Daniel Jasper,Germany,,420,60.00%,59/278,79.14%,Silver,,,,,,,
2000,Michael Siepmann,Germany,,410,58.57%,66/278,76.62%,Silver,,,,,,,
2000,Dominic Battre,Germany,,290,41.43%,112/278,60.07%,Bronze,,,,,,,
