Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
2002,Geir Engdahl,Norway,,253,42.17%,46/276,83.70%,Silver,,,,,,,
2002,Daniel Lokshtanov,Norway,,,,,,,,,,,,,
2002,Tormod Landet,Norway,,,,,,,,,,,,,
2002,Dag Seljebotn,Norway,,,,,,,,,,,,,
2001,Børge Mikkelsen,Norway,,185,30.83%,109/272,60.29%,Bronze,,,,,,,
2001,Jørund Leknes,Norway,,,,,,,,,,,,,
2001,Dag Seljebotn,Norway,,,,,,,,,,,,,
1991,Sigve Haug,Norway,,77,38.50%,53/68,23.53%,,,,,,,,
1991,Geir Holmgren,Norway,,15,7.50%,63/68,8.82%,,,,,,,,
1991,Kjetil Boe,Norway,,15,7.50%,63/68,8.82%,,,,,,,,
1990,Geir Holmgren,Norway,,,,,,,,,,,,,
1990,Kristian Holth Hanssen,Norway,,,,,,,,,,,,,
1990,Rogndalen,Norway,,,,,,,,,,,,,
1990,Bradtzaeg,Norway,,,,,,,,,,,,,
