Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
2005,Sergey Kopeliovich,Russia,,550,91.67%,10/276,96.74%,Gold,,,,,,,
2005,Alexander Yurev,Russia,,470,78.33%,32/276,88.77%,Silver,,,,,,,
2005,Alexandra Zykova,Russia,,412,68.67%,62/276,77.90%,Silver,,,,,,,
2005,Ignat Meldin,Russia,,363,60.50%,87/276,68.84%,Bronze,,,,,,,
2004,Kirill Batuzov,Russia,,495,82.50%,10/291,96.91%,Gold,,,,,,,
2004,Evgeny Shavlugin,Russia,,485,80.83%,11/291,96.56%,Gold,,,,,,,
2004,Alexandra Zykova,Russia,,460,76.67%,17/291,94.50%,Gold,,,,,,,
2004,Vitaly Goldshteyn,Russia,,445,74.17%,24/291,92.10%,Gold,,,,,,,
2003,Dmitry Orlov,Russia,,389.8,64.97%,12/265,95.85%,Gold,,,,,,,
2003,Semen Dyatlov,Russia,,322.4,53.73%,36/265,86.79%,Silver,,,,,,,
2003,Evgeny Shavlugin,Russia,,213.4,35.57%,98/265,63.40%,Bronze,,,,,,,
2003,Ignat Meldin,Russia,,211.4,35.23%,101/265,62.26%,Bronze,,,,,,,
2002,Petr Mitritchev,Russia,,385,64.17%,7/276,97.83%,Gold,,,,,,,
2002,Petr Kalinin,Russia,,356,59.33%,11/276,96.38%,Gold,,,,,,,
2002,Dmitri Pavlov,Russia,,291,48.50%,25/276,91.30%,Silver,,,,,,,
2002,Pavel Mavrin,Russia,,251,41.83%,50/276,82.25%,Silver,,,,,,,
2001,Andrey Rumyantsev,Russia,,462,77.00%,5/272,98.53%,Gold,,,,,,,
2001,Roman Pastoukhov,Russia,,320,53.33%,45/272,83.82%,Silver,,,,,,,
2001,Petr Mitritchev,Russia,,277,46.17%,65/272,76.47%,Silver,,,,,,,
2001,Petr Kalinin,Russia,,168,28.00%,121/272,55.88%,Bronze,,,,,,,
2000,Mikhail Baoutine,Russia,,700,100.00%,1/278,100.00%,Gold,,,,,,,
2000,Petr Mitritchev,Russia,,680,97.14%,5/278,98.56%,Gold,,,,,,,
2000,Roman Pastoukhov,Russia,,610,87.14%,10/278,96.76%,Gold,,,,,,,
2000,Alexei Krouglov,Russia,,570,81.43%,18/278,93.88%,Gold,,,,,,,
1999,Roman Pastoukhov,Russia,,457,76.17%,2/253,99.60%,Gold,,,,,,,
1999,Maxim Babenko,Russia,,340,56.67%,20/253,92.49%,Gold,,,,,,,
1999,Vladimir Martianov,Russia,,340,56.67%,20/253,92.49%,Gold,,,,,,,
1999,Mikhail Baoutine,Russia,,190,31.67%,93/253,63.64%,Bronze,,,,,,,
1998,Vladimir Martianov,Russia,,700,100.00%,1/241,100.00%,Gold,,,,,,,
1998,Nikolai Durov,Russia,,590,84.29%,29/241,88.38%,Silver,,,,,,,
1998,Andrei Lopatin,Russia,,520,74.29%,49/241,80.08%,Silver,,,,,,,
1998,Mikhail Baoutine,Russia,,480,68.57%,63/241,74.27%,Bronze,,,,,,,
1997,Vladimir Martianov,Russia,,462,77.00%,1/221,100.00%,Gold,,,,,,,
1997,Anatoli Ponomarev,Russia,,357,59.50%,29/221,87.33%,Silver,,,,,,,
1997,Andrei Lopatin,Russia,,342,57.00%,36/221,84.16%,Silver,,,,,,,
1997,Nikolai Durov,Russia,,308,51.33%,51/221,77.38%,Silver,,,,,,,
1996,Mark Sandler,Russia,,188,94.00%,6/220,97.73%,Gold,,,,,,,
1996,Nikolai Durov,Russia,,184,92.00%,9/220,96.36%,Gold,,,,,,,
1996,Victor Matyukhin,Russia,,182,91.00%,12/220,95.00%,Gold,,,,,,,
1996,Anatoli Ponomarev,Russia,,155,77.50%,46/220,79.55%,Silver,,,,,,,
1995,Victor Bargatchev,Russia,,186,93.00%,1/210,100.00%,Gold,,,,,,,
1995,Mark Sandler,Russia,,155,77.50%,14/210,93.81%,Gold,,,,,,,
1995,Nikolai Durov,Russia,,145,72.50%,26/210,88.10%,Silver,,,,,,,
1995,Vitaly Berov,Russia,,101,50.50%,83/210,60.95%,Bronze,,,,,,,
1995,Svetlana Koltsova,Russia,,87,43.50%,111/210,47.62%,,,,,,,,
1994,Victor Bargatchev,Russia,,195,97.50%,1/189,100.00%,Gold,,,,,,,
1994,Roman Elizarov,Russia,,167,83.50%,3/189,98.94%,Gold,,,,,,,
1994,Anton Lapunov,Russia,,151,75.50%,14/189,93.12%,Gold,,,,,,,
1994,Vitaly Berov,Russia,,104,52.00%,39/189,79.89%,Silver,,,,,,,
1993,Ilia Mironov,Russia,,192,96.00%,6/155,96.77%,Gold,,,,,,,
1993,Roman Elizarov,Russia,,175,87.50%,15/155,90.97%,Silver,,,,,,,
1993,Victor Bargatchev,Russia,,175,87.50%,15/155,90.97%,Silver,,,,,,,
1993,Anton Lapunov,Russia,,141,70.50%,58/155,63.23%,Bronze,,,,,,,
1992,Dmitry Zoukov,Russia,,187,93.50%,29/171,83.63%,Silver,,,,,,,
1992,Sergey Ioffe,Russia,,170,85.00%,47/171,73.10%,Bronze,,,,,,,
1992,Evgeniy Kuznetsov,Russia,,165,82.50%,54/171,69.01%,Bronze,,,,,,,
1992,Dmitry Davydak,Russia,,131,65.50%,77/171,55.56%,Bronze,,,,,,,
