Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
2007,Arindam Saha,India,,200,33.33%,133/285,53.68%,Bronze,,,,,,,
2007,B Venkatesh,India,,,,,,,,,,,,,
2006,Harpreet Singh,India,,344,57.33%,50/282,82.62%,Silver,,,,,,,
2006,Swarun Kumar Suresh Kumar,India,,267,44.50%,102/282,64.18%,Bronze,,,,,,,
2006,Prateek Karandikar,India,,241,40.17%,124/282,56.38%,Bronze,,,,,,,
2006,Kshitij Bansal,India,,,,,,,,,,,,,
2005,Kshitij Bansal,India,,420,70.00%,54/276,80.80%,Silver,,,,,,,
2005,Harpreet Singh,India,,400,66.67%,67/276,76.09%,Silver,,,,,,,
2005,Preyas Popat,India,,356,59.33%,90/276,67.75%,Bronze,,,,,,,
2005,Arnold Joseph Noronha,India,,328,54.67%,105/276,62.32%,Bronze,,,,,,,
2004,Harpreet Singh,India,,385,64.17%,55/291,81.44%,Silver,,,,,,,
2004,Shreevatsa Rajagopalan,India,,350,58.33%,82/291,72.16%,Bronze,,,,,,,
2004,Kshitij Bansal,India,,305,50.83%,109/291,62.89%,Bronze,,,,,,,
2004,Rahul Narayanamangalam Sekar,India,,,,,,,,,,,,,
2003,Ishan Behoora,India,,228.4,38.07%,88/265,67.17%,Bronze,,,,,,,
2003,Swarnendu Datta,India,,192.9,32.15%,113/265,57.74%,Bronze,,,,,,,
2003,Indraneel Mukherjee,India,,174.0,29.00%,130/265,51.32%,Bronze,,,,,,,
2002,Rahil Ali,India,,,,,,,,,,,,,
2002,Adnam Raja,India,,,,,,,,,,,,,
2002,Vivek Kapoor,India,,,,,,,,,,,,,
2002,Anubhav Gupta,India,,,,,,,,,,,,,
