Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
2009,Hyung Suk Yoon,Republic of Korea,616,77.00%,25/301,92.03%,Gold,,,,,,,,
2009,Hyeok Hwa Seong,Republic of Korea,453,56.62%,98/301,67.77%,Bronze,,,,,,,,
2008,Chan Min Kim,Republic of Korea,,412,68.67%,12/283,96.11%,Gold,,,,,,,
2008,Jae Sung Park,Republic of Korea,,338,56.33%,27/283,90.81%,Silver,,,,,,,
2008,Sun il Kwon,Republic of Korea,,300,50.00%,31/283,89.40%,Silver,,,,,,,
2008,Ji Hoon Ryoo,Republic of Korea,,258,43.00%,52/283,81.98%,Silver,,,,,,,
2007,Jae Hyun Park,Republic of Korea,,379,63.17%,29/285,90.18%,Silver,,,,,,,
2007,Si Young Oh,Republic of Korea,,352,58.67%,35/285,88.07%,Silver,,,,,,,
2007,Jong Hyuk Lee,Republic of Korea,,252,42.00%,95/285,67.02%,Bronze,,,,,,,
2007,Dae Wook Kim,Republic of Korea,,239,39.83%,112/285,61.05%,Bronze,,,,,,,
2006,Jae Hyun Park,Republic of Korea,,466,77.67%,2/282,99.65%,Gold,,,,,,,
2006,Min Joon Kim,Republic of Korea,,362,60.33%,35/282,87.94%,Silver,,,,,,,
2006,Jae Hong Kim,Republic of Korea,,361,60.17%,36/282,87.59%,Silver,,,,,,,
2006,Dae Wook Kim,Republic of Korea,,360,60.00%,37/282,87.23%,Silver,,,,,,,
2005,Jee Hoon Kang,Republic of Korea,,583,97.17%,5/276,98.55%,Gold,,,,,,,
2005,Hoo Yeon Lee,Republic of Korea,,500,83.33%,22/276,92.39%,Gold,,,,,,,
2005,Gang Won Jo,Republic of Korea,,395,65.83%,68/276,75.72%,Silver,,,,,,,
2005,Yun Dong Yeo,Republic of Korea,,377,62.83%,81/276,71.01%,Bronze,,,,,,,
2004,Do Kyoung Lee,Republic of Korea,,460,76.67%,17/291,94.50%,Gold,,,,,,,
2004,Yong Woon Cho,Republic of Korea,,410,68.33%,44/291,85.22%,Silver,,,,,,,
2004,Hoo Yeon Lee,Republic of Korea,,375,62.50%,62/291,79.04%,Silver,,,,,,,
2004,Jong Gyun Kim,Republic of Korea,,,,,,,,,,,,,
2003,Hwan-Seung Yeo,Republic of Korea,,455.4,75.90%,1/265,100.00%,Gold,,,,,,,
2003,Won-Sik Kim,Republic of Korea,,378.8,63.13%,13/265,95.47%,Gold,,,,,,,
2003,Chan-Il Jung,Republic of Korea,,327.4,54.57%,32/265,88.30%,Silver,,,,,,,
2003,Young-Sub Bae,Republic of Korea,,325.9,54.32%,33/265,87.92%,Silver,,,,,,,
2002,Wan Yeong Jung,Republic of Korea,,510,85.00%,1/276,100.00%,Gold,,,,,,,
2002,Kyung Yoon Oh,Republic of Korea,,390,65.00%,6/276,98.19%,Gold,,,,,,,
2002,Hyung-Sul Kim,Republic of Korea,,310,51.67%,19/276,93.48%,Gold,,,,,,,
2002,Heon Jeong,Republic of Korea,,214,35.67%,78/276,72.10%,Bronze,,,,,,,
2001,Wan Yeong Jung,Republic of Korea,,430,71.67%,9/272,97.06%,Gold,,,,,,,
2001,Dong Jin Lee,Republic of Korea,,386,64.33%,21/272,92.65%,Gold,,,,,,,
2001,Ji Won Kim,Republic of Korea,,299,49.83%,52/272,81.25%,Silver,,,,,,,
2001,Jin Ho Kim,Republic of Korea,,258,43.00%,73/272,73.53%,Bronze,,,,,,,
2000,Ji Won Kim,Republic of Korea,,550,78.57%,22/278,92.45%,Gold,,,,,,,
2000,Tae Hyung Lim,Republic of Korea,,430,61.43%,54/278,80.94%,Silver,,,,,,,
2000,Jae Seung Ha,Republic of Korea,,320,45.71%,100/278,64.39%,Bronze,,,,,,,
2000,Jin Ho Kim,Republic of Korea,,280,40.00%,116/278,58.63%,Bronze,,,,,,,
1999,Jung Gun Lim,Republic of Korea,,435,72.50%,4/253,98.81%,Gold,,,,,,,
1999,Kee Moon Song,Republic of Korea,,428,71.33%,6/253,98.02%,Gold,,,,,,,
1999,Jun Wook Kong,Republic of Korea,,235,39.17%,62/253,75.89%,Silver,,,,,,,
1999,Kyung Young Lim,Republic of Korea,,181,30.17%,99/253,61.26%,Bronze,,,,,,,
1998,Sehyuk Park,Republic of Korea,,680,97.14%,5/241,98.34%,Gold,,,,,,,
1998,Byung-Gyu Ahn,Republic of Korea,,640,91.43%,21/241,91.70%,Gold,,,,,,,
1998,Won Seok Yoo,Republic of Korea,,580,82.86%,31/241,87.55%,Silver,,,,,,,
1998,Jung Gun Lim,Republic of Korea,,550,78.57%,40/241,83.82%,Silver,,,,,,,
1997,Hyung Chan An,Republic of Korea,,270,45.00%,67/221,70.14%,Bronze,,,,,,,
1997,Won Seok Yoo,Republic of Korea,,253,42.17%,73/221,67.42%,Bronze,,,,,,,
1997,Jae Kap Han,Republic of Korea,,243,40.50%,81/221,63.80%,Bronze,,,,,,,
1997,Kook-Jin An,Republic of Korea,,197,32.83%,114/221,48.87%,,,,,,,,
1996,Won Seok Yoo,Republic of Korea,,180,90.00%,14/220,94.09%,Gold,,,,,,,
