Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
2010,Ashar Fuadi,Indonesia,623,75.98%,70/297,76.77%,Silver,,,,,,,,
2010,Christianto Handojo,Indonesia,595,72.56%,103/297,65.66%,Bronze,,,,,,,,
2010,Harta Wijaya,Indonesia,532,64.88%,153/297,48.82%,,,,,,,,,
2009,Angelina Veni Johanna,Indonesia,506,63.25%,69/301,77.41%,Silver,,,,,,,,
2009,Reinardus Surya Pradhitya,Indonesia,502,62.75%,71/301,76.74%,Silver,,,,,,,,
2009,Risan,Indonesia,445,55.62%,102/301,66.45%,Bronze,,,,,,,,
2009,Christianto Handojo,Indonesia,,,,,,,,,,,,,
2008,Irvan Jahja,Indonesia,,361,60.17%,22/283,92.58%,Gold,,,,,,,
2008,Reinardus Surya Pradhitya,Indonesia,,213,35.50%,82/283,71.38%,Bronze,,,,,,,
2008,Risan,Indonesia,,184,30.67%,100/283,65.02%,Bronze,,,,,,,
2008,Listiarso Wastuargo,Indonesia,,153,25.50%,116/283,59.36%,Bronze,,,,,,,
2007,Brian Marshal,Indonesia,,230,38.33%,116/285,59.65%,Bronze,,,,,,,
2007,Riza Oktavian Nugraha Suminto,Indonesia,,208,34.67%,128/285,55.44%,Bronze,,,,,,,
2007,Ricky Jeremiah Djajadi,Indonesia,,205,34.17%,131/285,54.39%,Bronze,,,,,,,
2007,Karol Danutama,Indonesia,,203,33.83%,132/285,54.04%,Bronze,,,,,,,
2006,Derianto Kusuma,Indonesia,,376,62.67%,29/282,90.07%,Silver,,,,,,,
2006,Aditya Kristanto Goenawan,Indonesia,,,,,,,,,,,,,
2006,Kevin Tanadi,Indonesia,,,,,,,,,,,,,
2006,Daniel Aris Pandu Prasetia,Indonesia,,,,,,,,,,,,,
2005,Andrian Kurniady,Indonesia,,434,72.33%,50/276,82.25%,Silver,,,,,,,
2005,Derianto Kusuma,Indonesia,,417,69.50%,58/276,79.35%,Silver,,,,,,,
2005,Sonny Budiman Sasaka,Indonesia,,390,65.00%,73/276,73.91%,Bronze,,,,,,,
2005,Arief Widhiyasa,Indonesia,,,,,,,,,,,,,
2005,Dennis Andika Suryawijaya,Indonesia,,,,,,,,,,,,,
2004,David Santoso Anggakusuma,Indonesia,,375,62.50%,62/291,79.04%,Silver,,,,,,,
2004,Derianto Kusuma,Indonesia,,370,61.67%,67/291,77.32%,Silver,,,,,,,
2004,Andrian Kurniady,Indonesia,,345,57.50%,85/291,71.13%,Bronze,,,,,,,
2004,Lie Roberto Eliantono Adiseputra,Indonesia,,,,,,,,,,,,,
2002,Widagdo Setiawan,Indonesia,,290,48.33%,26/276,90.94%,Silver,,,,,,,
2002,Randy Sugianto,Indonesia,,151,25.17%,129/276,53.62%,Bronze,,,,,,,
2002,Felix Halim,Indonesia,,,,,,,,,,,,,
2002,Ilham Winata Kurnia,Indonesia,,,,,,,,,,,,,
2001,Widagdo Setiawan,Indonesia,,234,39.00%,86/272,68.75%,Bronze,,,,,,,
2001,Johan Mustika Kartiwa,Indonesia,,,,,,,,,,,,,
2001,Hendy Irawan,Indonesia,,,,,,,,,,,,,
2001,Ardian Kristanto Poernomo,Indonesia,,,,,,,,,,,,,
2000,Hendy Irawan,Indonesia,,267,38.14%,123/278,56.12%,Bronze,,,,,,,
2000,Johan Mustika Kartiwa,Indonesia,,250,35.71%,129/278,53.96%,Bronze,,,,,,,
2000,Sony Raditya Suryawijaya,Indonesia,,,,,,,,,,,,,
2000,Widagdo Setiawan,Indonesia,,,,,,,,,,,,,
1999,Sony Raditya Suryawijaya,Indonesia,,,,,,,,,,,,,
1999,Johan Mustika Kartiwa,Indonesia,,,,,,,,,,,,,
1999,Hendy Irawan,Indonesia,,,,,,,,,,,,,
1999,Anugrah Redja Kusuma,Indonesia,,,,,,,,,,,,,
1998,Rusmin Soetjipto,Indonesia,,540,77.14%,41/241,83.40%,Silver,,,,,,,
1998,Andy Kurnia,Indonesia,,530,75.71%,46/241,81.33%,Silver,,,,,,,
1998,Liong Sauw Ming,Indonesia,,350,50.00%,111/241,54.36%,Bronze,,,,,,,
1998,Johan Mustika Kartiwa,Indonesia,,150,21.43%,164/241,32.37%,,,,,,,,
1997,Andy Kurnia,Indonesia,,449,74.83%,4/221,98.64%,Gold,,,,,,,
1997,Abdul Aziz Qohhar Noor,Indonesia,,255,42.50%,72/221,67.87%,Bronze,,,,,,,
1997,Liong Sauw Ming,Indonesia,,158,26.33%,136/221,38.91%,,,,,,,,
1997,Fidens Felix Vicentius Hubertson Simanjuntak,Indonesia,,18,3.00%,208/221,6.33%,,,,,,,,
1996,Yudhi Widyatama,Indonesia,,93,46.50%,115/220,48.18%,,,,,,,,
1996,Yogy Namara,Indonesia,,80,40.00%,138/220,37.73%,,,,,,,,
1996,Andy Kurnia,Indonesia,,69,34.50%,152/220,31.36%,,,,,,,,
1996,Ferdinand Fadil,Indonesia,,68,34.00%,154/220,30.45%,,,,,,,,
1996,Michael Permana,Indonesia,,64,32.00%,162/220,26.82%,,,,,,,,
1995,Wirawan Purwanto,Indonesia,,125,62.50%,50/210,76.67%,Silver,,,,,,,
