Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
2005,Aliaksei Labanau,Belarus,,314,52.33%,114/276,59.06%,Bronze,,,,,,,
2005,Mikita Lesnikau,Belarus,,306,51.00%,118/276,57.61%,Bronze,,,,,,,
2005,Uladzimir Kerus,Belarus,,283,47.17%,131/276,52.90%,Bronze,,,,,,,
2004,Dzmitry Khusainau,Belarus,,425,70.83%,33/291,89.00%,Silver,,,,,,,
2004,Uladzimir Kerus,Belarus,,420,70.00%,36/291,87.97%,Silver,,,,,,,
2004,Pavel Sakau,Belarus,,365,60.83%,73/291,75.26%,Silver,,,,,,,
2004,Mikita Lesnikau,Belarus,,,,,,,,,,,,,
2003,Uladzimir Kerus,Belarus,,313.3,52.22%,40/265,85.28%,Silver,,,,,,,
2003,Maksim Osipau,Belarus,,226.4,37.73%,90/265,66.42%,Bronze,,,,,,,
2003,Pavel Sakau,Belarus,,205.4,34.23%,105/265,60.75%,Bronze,,,,,,,
2003,Sarge Rogatch,Belarus,,174.3,29.05%,128/265,52.08%,Bronze,,,,,,,
2002,Maksim Osipau,Belarus,,226,37.67%,70/276,75.00%,Silver,,,,,,,
2002,Sarge Rogatch,Belarus,,179,29.83%,100/276,64.13%,Bronze,,,,,,,
2002,Aliaksei Sikorski,Belarus,,164,27.33%,113/276,59.42%,Bronze,,,,,,,
2002,Raman Dzvinkouski,Belarus,,135,22.50%,138/276,50.36%,Bronze,,,,,,,
2001,Ivan Miatselski,Belarus,,268,44.67%,67/272,75.74%,Silver,,,,,,,
2001,Mikhail Svaricheuski,Belarus,,252,42.00%,75/272,72.79%,Bronze,,,,,,,
2001,Siarhei Salnikau,Belarus,,144,24.00%,135/272,50.74%,Bronze,,,,,,,
2001,Yauhen Hanchar,Belarus,,,,,,,,,,,,,
2000,Aliaksei Danchanka,Belarus,,460,65.71%,41/278,85.61%,Silver,,,,,,,
2000,Mikhail Svaricheuski,Belarus,,414,59.14%,65/278,76.98%,Silver,,,,,,,
2000,Ivan Miatselski,Belarus,,405,57.86%,71/278,74.82%,Bronze,,,,,,,
2000,Aliaksei Kirkouski,Belarus,,280,40.00%,116/278,58.63%,Bronze,,,,,,,
1999,Aliaksei Danchanka,Belarus,,240,40.00%,56/253,78.26%,Silver,,,,,,,
1999,Ivan Miatselski,Belarus,,226,37.67%,68/253,73.52%,Bronze,,,,,,,
1999,Viachaslav Vdavichenka,Belarus,,135,22.50%,127/253,50.20%,Bronze,,,,,,,
1999,Ivan Zauharodneu,Belarus,,,,,,,,,,,,,
1998,Andrei Kirylenka,Belarus,,560,80.00%,36/241,85.48%,Silver,,,,,,,
1998,Siarhei Lahvinenka,Belarus,,560,80.00%,36/241,85.48%,Silver,,,,,,,
1998,Viachaslav Vdavichenka,Belarus,,270,38.57%,127/241,47.72%,,,,,,,,
1998,Aliaksei Danchanka,Belarus,,150,21.43%,164/241,32.37%,,,,,,,,
1997,Artsiom Kuzniatsou,Belarus,,350,58.33%,33/221,85.52%,Silver,,,,,,,
1997,Dzmitry Mitskevich,Belarus,,169,28.17%,130/221,41.63%,,,,,,,,
1997,Dzmitry Masaliyeu,Belarus,,114,19.00%,159/221,28.51%,,,,,,,,
1997,Uladzimir Tankovich,Belarus,,92,15.33%,176/221,20.81%,,,,,,,,
1996,Vitaly Buka,Belarus,,181,90.50%,13/220,94.55%,Gold,,,,,,,
