Text
"16th International Biology Olympiad - Beijing, China, 2005 - Fi nal Results 
T Rank Team Name ID Prac 1 Prac 2 Prac 3 Prac 4 Theory 1 Theory 2 Total(T-Score)
1 China Zhou Zhou 202 28 27.5 38 40 64.33 66.15 138.1138932
2 Thailand Warakorn Kulalert 534 30 22.8 34.4 40 71.58 62.49 136.3762393
3 China Lan Wang 203 31 34.5 38 31 68.88 56.83 136.370225
4 Australia Emma Leitinger 121 32 30.8 37 31 60 63.33 133.1916158
5 China  Jing Yi Yu 201 24 23.7 40 34 68.33 63.49 132.2704874
6 Chinese Taipei Tsung-Che Wu 214 30 22.8 32.2 31 68.13 65.83 130.1655389
7 Thailand Nattawat Klomjit 531 31 28.5 35 30 56.04 64.71 128.4873523
8 Korea Jin Hee Baek 351 30 23.7 35 26 65.33 66.33 128.3449256
9 USA Robin Zhou 583 30 31.5 30.8 27 64.48 61.33 128.0612769
10 USA Christopher Krueger 582 25 27.6 24.8 32 65.73 69.83 127.3061279
11 Chinese Taipei Ying-Te Huang 212 28 21 33 31 65.63 65.49 127.1506194
12 Singapore Sheng Rong Ng 483 32 22.7 31 27 64.58 65.71 126.5866042
13 Russia Olga Gancharova 472 24 28.5 30.8 32 71.18 54.31 125.7081989
14 China Qian Qian Ye 204 28 23.7 38 26 58.65 64.99 125.0386186
15 India Anand Venkatraman 291 32 20.7 29.4 34 61.98 60.83 124.8594666
16 Korea Jung Yeon Choi 352 34 19.5 25.8 34 62.33 63.05 124.5557004
17 United Kingdom Benjamin Fisher 572 33 23.7 24 34 55.45 68.05 124.4215004
18 Korea Sang Woo Park 354 29 23.7 32.2 30 60.38 62.83 124.3920259
19 Thailand Pongpratch Puapatanakul 532 28 25.8 27.8 38 61.58 55.99 124.2643281
20 Bulgaria Kaloyan Mihaylov Tsanov 181 29 20.7 33 26 68.58 60.83 123.9642715
21 USA Steven Hao 581 31 18.6 29.4 32 64.58 61.33 123.5459803
22 Australia Thompson Joy 123 30 26.7 32.2 27 61.98 58.05 123.4128486
