Year,Contestant,Original script,Rank,Award
2000,Alejandra Lorena Garcia Piantanida,Alejandra Lorena Garcia Piantanida,,Participant
1999,Mario Tagliazucchi,Mario Tagliazucchi,2,Gold medal
1999,Esteban Ganc,Esteban Ganc,48,Silver medal
1999,Matias Bikel,Matias Bikel,78,Bronze medal
1999,Damian Bikiel,Damian Bikiel,104,Bronze medal
1998,Tagliazucchi Mario,Tagliazucchi Mario,3,Gold medal
1998,Juan Carlos Risso Patrón,Juan Carlos Risso Patrón,10,Gold medal
1998,Pablo Hoijemberg,Pablo Hoijemberg,43,Silver medal
1998,Jose Basutto,Jose Basutto,69,Bronze medal
1997,Pablo Englebienne,Pablo Englebienne,39,Silver medal
1997,Leonardo Lizarraga,Leonardo Lizarraga,87,Bronze medal
1997,Eugenio Otal,Eugenio Otal,,Participant
1997,Maria Jimena Ortega,Maria Jimena Ortega,143,Honorable mention
1996,Andres Zelcer,Andres Zelcer,18,Gold medal
1996,Sebastian Klinke,Sebastian Klinke,37,Silver medal
1996,Rodrigo Zapata-Zorza,Rodrigo Zapata-Zorza,83,Bronze medal
1996,Pablo Barrics,Pablo Barrics,101,Bronze medal
1995,Carlos A. Figueroa,Carlos A. Figueroa,58,Bronze medal
1995,Rodrigo M. Zapata-Zorza,Rodrigo M. Zapata-Zorza,69,Bronze medal
1995,Sebastian Klinke,Sebastian Klinke,81,Bronze medal
1995,Andres Zelcer,Andres Zelcer,87,Bronze medal
