Year,Contestant,Original script,Rank,Award
1997,Hsaun-chi Wang,王璇璣,63,Bronze medal
1996,Tsung-Shing Wang,王宗興,16,Gold medal
1996,Chi-Wang Lin,林奇旺,32,Silver medal
1996,Huah-Ching Tai,戴桓青,48,Silver medal
1996,Haw-Lih Su,蘇浩立,108,Bronze medal
1995,Kuo-Liang Yeh,葉國良,28,Silver medal
1995,Chia-Hung Wu,吳佳鴻,32,Silver medal
1995,Chih-Kai Lin,林志闓,47,Silver medal
1995,Lin Chi-Wang,林奇旺,80,Bronze medal
1994,Wen-ta Su,蘇文達,32,Silver medal
1994,Jyh-Perng Chiu,邱志鵬,46,Silver medal
1994,Shang-Jyh Yiin,尹相志,50,Silver medal
1994,Kai-hsu Tai,戴凱序,58,Bronze medal
1993,Po Wen Zeng,曾柏文,3,Gold medal
1993,Ding shyue Yang,楊定學,10,Gold medal
1993,Jing Jong Shyue,薛景中,30,Silver medal
1993,Guowei Huang,黃國維,43,Silver medal
1992,Xiaohua You,尤嘯華,9,Gold medal
1992,Zhi Xuan Lin,林志宣,38,Silver medal
1992,Ping Zhuang,莊 平,64,Bronze medal
